,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
69 St (7),1346.142857142857,2877.285714285714,7132.0,5758.571428571428,5042.142857142857,4020.4285714285716,3386.285714285714,1824.0,4721.285714285715,1370.857142857143,9884.857142857143,4415.142857142857,low ridership
"7 Av (B,Q)",2715.5714285714284,1325.7142857142858,11561.571428571428,8521.285714285714,11660.285714285714,5586.571428571428,4438.428571428572,1847.857142857143,8028.714285714285,4272.285714285714,16389.571428571428,7021.142857142857,low ridership
"7 Av (E,B,D)",9191.42857142857,2812.1428571428573,16456.714285714286,3075.4285714285716,35745.142857142855,13273.57142857143,4997.285714285714,7571.0,22661.14285714286,18611.571428571428,16432.571428571428,13994.0,low ridership
"7 Av (F,G)",3155.857142857143,1669.2857142857142,13347.714285714286,9942.142857142857,15456.142857142857,10053.0,4881.857142857143,3774.142857142857,10277.0,7322.142857142857,18534.14285714286,9473.0,low ridership
71 St (D),530.2857142857143,3096.4285714285716,5084.571428571428,5777.428571428572,2633.285714285714,3613.8571428571427,2390.714285714286,864.7142857142858,3318.1428571428573,814.8571428571429,9169.857142857143,3562.142857142857,low ridership
"72 St (1,2,3)",18538.0,4869.571428571428,41561.28571428572,20346.428571428572,54580.57142857143,41679.71428571428,14669.714285714284,10943.857142857143,43987.42857142857,21909.57142857143,54870.42857142857,40346.57142857143,high ridership
"72 St (C,B)",3951.8571428571427,831.5714285714286,11590.57142857143,3643.1428571428573,17929.285714285714,11513.857142857143,3134.1428571428573,2427.4285714285716,14530.57142857143,5921.857142857143,13046.42857142857,11766.57142857143,low ridership
72 St (Q),9696.0,2776.5714285714284,27504.285714285714,15322.857142857143,52097.71428571429,19677.571428571428,8322.857142857143,15868.571428571428,28592.285714285714,25450.571428571428,30217.714285714286,17802.428571428572,low ridership
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",18763.714285714286,32835.71428571429,73220.14285714286,47514.42857142857,58167.57142857143,56706.142857142855,34466.57142857143,18256.85714285714,56113.142857142855,15880.285714285714,100793.42857142858,54491.0,high ridership
"75 Av (E,F)",559.1428571428571,1145.7142857142858,3698.714285714286,3632.285714285714,2823.4285714285716,2309.1428571428573,1395.4285714285713,606.8571428571429,2743.857142857143,1086.4285714285716,6125.285714285715,2256.714285714286,low ridership
"75 St-Elderts Ln (J,Z)",175.0,869.1428571428571,1378.857142857143,1187.5714285714284,954.1428571428571,483.0,545.2857142857143,304.2857142857143,886.1428571428571,499.2857142857143,2079.714285714286,622.0,low ridership
77 St (6),9802.857142857143,2523.285714285714,29221.428571428572,12620.0,50585.71428571429,17358.857142857145,6330.142857142858,14093.142857142857,33489.857142857145,25650.285714285717,27093.85714285714,17566.14285714286,low ridership
77 St (R),753.5714285714286,2672.4285714285716,5798.142857142857,6291.285714285715,4086.5714285714284,3467.5714285714284,2305.0,988.1428571428571,3866.1428571428573,1278.2857142857142,9938.714285714286,3250.1428571428573,low ridership
79 St (1),4534.0,1295.7142857142858,14085.857142857143,6421.571428571428,17865.285714285714,9536.714285714286,4556.428571428572,3137.2857142857147,13795.57142857143,6768.714285714286,15682.0,10050.57142857143,low ridership
79 St (D),570.8571428571429,4037.285714285714,7196.0,7147.714285714285,3480.714285714286,4155.285714285715,2836.4285714285716,1000.8571428571429,4235.571428571428,2023.0,11429.0,4127.285714285715,low ridership
8 Av (N),1845.857142857143,2718.1428571428573,14985.285714285714,7241.142857142857,12599.57142857143,9607.285714285714,4093.285714285714,1832.7142857142858,13932.0,5507.142857142857,12949.857142857143,9542.142857142857,low ridership
"8 St-NYU (R,W)",9718.285714285714,2775.1428571428573,14625.285714285714,5474.0,25030.571428571428,17971.571428571428,5119.571428571428,3218.857142857143,21632.285714285714,8352.857142857143,22229.142857142855,19513.428571428572,low ridership
80 St (A),551.7142857142857,3100.4285714285716,4268.285714285715,4685.142857142857,2050.4285714285716,2341.285714285714,2204.142857142857,1091.0,2712.714285714286,494.8571428571429,7442.857142857143,2310.0,low ridership
"81 St-Museum of Natural History (C,B)",3796.285714285714,1008.2857142857142,15382.42857142857,4086.4285714285716,27373.142857142855,16377.0,3550.714285714286,3412.285714285714,24029.428571428572,8612.857142857143,13435.285714285714,16503.285714285714,low ridership
82 St-Jackson Hts (7),2561.8571428571427,3053.714285714286,10775.0,4828.0,10498.142857142857,7871.0,3850.714285714286,2084.5714285714284,10206.285714285714,2983.857142857143,12800.857142857143,7449.857142857143,low ridership
85 St-Forest Pkwy (J),667.7142857142857,3373.5714285714284,4647.571428571428,4578.571428571428,2484.714285714286,1708.2857142857142,2004.2857142857142,973.0,3419.1428571428573,869.7142857142858,8083.428571428572,2299.5714285714284,low ridership
86 St (1),6050.857142857143,1995.7142857142858,16455.0,8871.714285714286,21095.571428571428,10182.42857142857,5428.428571428572,4303.142857142857,15730.42857142857,9086.285714285714,19978.428571428572,10874.57142857143,low ridership
"86 St (4,5,6)",17498.714285714286,5943.0,46209.0,23129.0,76603.28571428571,40086.57142857143,12750.714285714286,17357.857142857145,55537.57142857143,34682.42857142857,54552.71428571429,39453.71428571428,high ridership
"86 St (C,B)",3315.8571428571427,1101.2857142857142,12305.57142857143,6340.285714285714,18886.14285714286,9154.142857142857,3658.857142857143,3388.857142857143,12738.285714285714,8799.142857142857,14309.857142857143,9322.142857142857,low ridership
86 St (N),379.42857142857144,1204.4285714285713,3047.0,2472.285714285714,1949.5714285714284,1950.4285714285713,957.8571428571429,613.8571428571429,2023.2857142857142,1127.0,3993.0,1775.7142857142858,low ridership
86 St (Q),6824.714285714285,3217.285714285714,24692.14285714286,20195.142857142855,28313.571428571428,21361.85714285714,10489.857142857143,6607.0,18880.428571428572,9341.142857142857,36115.71428571429,19174.428571428572,low ridership
86 St (R),2115.1428571428573,6033.714285714285,12807.0,10896.285714285716,9427.0,7210.714285714286,4254.571428571428,3142.142857142857,8476.0,3728.1428571428573,18698.428571428572,6755.0,low ridership
88 St (A),273.7142857142857,2414.5714285714284,2578.4285714285716,3279.4285714285716,1099.0,1345.142857142857,1309.142857142857,596.4285714285714,1707.142857142857,309.85714285714283,5315.857142857143,1371.5714285714287,low ridership
9 Av (D),738.2857142857142,2900.0,6325.857142857143,5465.857142857143,4120.0,4326.714285714286,3166.571428571429,1476.5714285714287,4026.142857142857,1580.142857142857,9125.0,4214.0,low ridership
90 St-Elmhurst Av (7),4191.857142857143,12586.571428571428,21889.428571428572,16067.857142857141,15904.857142857143,14664.0,11856.57142857143,5253.142857142857,17000.714285714286,3997.1428571428573,32750.857142857145,15553.428571428572,low ridership
"96 St (1,2,3)",11052.857142857143,5800.142857142857,39520.71428571428,22175.714285714286,43195.28571428572,32642.0,15909.857142857143,10665.571428571428,32389.285714285714,17526.714285714286,47922.0,29936.85714285714,low ridership
96 St (6),4622.0,2150.0,18652.571428571428,8994.857142857143,29132.285714285714,9021.142857142857,4951.285714285714,7888.571428571428,17626.714285714286,16801.714285714286,17429.0,9183.0,low ridership
"96 St (C,B)",2422.714285714286,840.7142857142858,10722.714285714286,5327.428571428572,16501.714285714286,6945.571428571429,3160.285714285714,3700.8571428571427,10350.285714285714,7466.857142857143,12157.57142857143,7189.285714285715,low ridership
96 St (Q),4082.142857142857,3702.714285714286,18986.142857142855,13753.142857142857,19987.85714285714,13623.714285714286,7387.714285714286,5976.714285714286,13282.57142857143,8605.714285714286,23201.85714285714,11786.714285714286,low ridership
Alabama Av (J),524.2857142857143,732.4285714285714,1782.0,962.4285714285714,2285.8571428571427,945.2857142857143,506.57142857142856,1065.4285714285716,1644.5714285714284,1044.142857142857,1879.0,910.7142857142858,low ridership
"Allerton Av (2,5)",690.5714285714286,2712.8571428571427,3606.714285714286,3562.8571428571427,2778.714285714286,2040.4285714285713,1479.5714285714284,1154.142857142857,2808.714285714286,1134.142857142857,6112.0,2154.4285714285716,low ridership
Aqueduct Racetrack (A),373.85714285714283,430.0,643.5714285714286,274.42857142857144,954.2857142857143,847.1428571428571,228.28571428571428,177.57142857142856,1292.2857142857142,199.28571428571428,988.2857142857143,1025.2857142857142,low ridership
Aqueduct-N Conduit Av (A),137.85714285714286,780.4285714285714,610.4285714285714,893.2857142857143,500.14285714285717,346.85714285714283,258.42857142857144,289.57142857142856,608.1428571428571,147.57142857142858,1518.857142857143,387.0,low ridership
Astor Pl (6),11229.285714285714,3502.4285714285716,15311.57142857143,7223.142857142857,22751.857142857145,16167.714285714286,5529.428571428572,4004.428571428571,20229.428571428572,8292.714285714286,24103.57142857143,17998.571428571428,low ridership
"Astoria Blvd (N,W)",2098.142857142857,3676.4285714285716,12687.285714285714,11436.0,8959.857142857143,7120.857142857143,6187.428571428572,2894.0,7097.571428571428,1978.7142857142858,19272.714285714286,7577.0,low ridership
"Astoria-Ditmars Blvd (N,W)",3093.0,5554.0,16690.714285714286,15718.285714285714,12478.42857142857,9842.42857142857,8077.0,4007.1428571428573,10422.428571428572,2953.1428571428573,26733.14285714286,9728.571428571428,low ridership
Atlantic Av (L),414.57142857142856,811.1428571428571,1432.857142857143,1391.5714285714284,2136.4285714285716,936.4285714285714,623.2857142857143,862.8571428571429,1328.142857142857,719.4285714285714,2184.5714285714284,885.5714285714286,low ridership
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",20779.857142857145,10437.714285714286,40458.857142857145,23454.428571428572,56984.857142857145,37136.57142857143,12091.42857142857,11717.142857142857,41964.57142857143,25388.14285714286,63194.71428571429,36190.0,high ridership
Avenue H (Q),476.0,991.2857142857143,3497.0,2673.5714285714284,2693.0,1687.857142857143,1291.142857142857,591.2857142857142,2569.4285714285716,1249.0,4473.714285714286,1732.4285714285716,low ridership
Avenue I (F),414.8571428571429,455.4285714285714,1816.0,1168.5714285714287,2333.1428571428573,850.7142857142857,453.71428571428567,603.0,1437.857142857143,1266.2857142857142,2175.4285714285716,868.7142857142857,low ridership
Avenue J (Q),943.0,1910.7142857142858,5940.714285714285,4422.285714285714,5141.571428571428,3188.285714285714,2063.8571428571427,1420.2857142857144,4361.428571428572,2472.0,7883.857142857142,3192.1428571428573,low ridership
Avenue M (Q),777.8571428571429,1757.142857142857,6457.285714285715,4616.0,5118.142857142857,3033.0,1973.5714285714287,1248.7142857142858,4187.428571428572,3162.4285714285716,7967.142857142857,2975.5714285714284,low ridership
Avenue N (F),418.85714285714283,1494.142857142857,2686.285714285714,3043.4285714285716,2460.1428571428573,1427.142857142857,1034.7142857142858,683.5714285714286,1972.4285714285713,1202.4285714285713,4663.142857142857,1464.0,low ridership
Avenue P (F),342.7142857142857,1496.0,2446.5714285714284,2972.2857142857147,1822.142857142857,1342.5714285714287,1071.2857142857142,601.1428571428571,1682.142857142857,696.5714285714286,4493.714285714286,1431.4285714285713,low ridership
Avenue U (F),279.85714285714283,964.5714285714286,1787.4285714285713,1798.857142857143,1635.0,713.1428571428571,566.0,553.2857142857143,1301.5714285714284,821.2857142857142,2820.714285714286,844.4285714285714,low ridership
Avenue U (N),592.7142857142858,2021.7142857142858,4355.857142857143,4264.0,2763.1428571428573,3141.285714285714,1525.2857142857142,785.2857142857142,3029.0,1292.7142857142858,6966.0,2879.285714285714,low ridership
Avenue U (Q),1070.857142857143,3048.285714285714,8009.428571428572,6903.571428571428,5568.428571428572,4434.285714285715,2704.857142857143,1308.2857142857142,5927.571428571428,2239.0,11546.714285714286,4540.571428571428,low ridership
Avenue X (F),446.14285714285717,1410.4285714285713,2406.285714285714,2377.714285714286,1900.5714285714287,809.2857142857143,779.1428571428571,767.0,1880.857142857143,979.7142857142857,3636.4285714285716,1056.2857142857142,low ridership
Bay 50 St (D),299.42857142857144,1436.4285714285713,2986.4285714285716,2518.8571428571427,1725.2857142857142,1726.2857142857142,1020.4285714285714,652.7142857142857,1894.0,1160.0,4067.857142857143,1665.142857142857,low ridership
Bay Pkwy (D),1098.4285714285713,4142.857142857143,8222.857142857143,7613.142857142857,5441.285714285714,5670.571428571428,2982.857142857143,1574.0,6266.714285714286,2035.0,12760.142857142857,5415.428571428572,low ridership
Bay Pkwy (F),208.0,635.7142857142857,1341.2857142857142,1234.4285714285716,1166.2857142857142,716.2857142857142,436.42857142857144,422.8571428571429,944.7142857142858,629.7142857142858,1975.4285714285713,713.8571428571429,low ridership
Bay Pkwy (N),769.7142857142857,3739.4285714285716,7974.714285714286,7674.285714285715,4617.857142857143,4927.857142857143,2959.714285714286,1260.7142857142858,5346.714285714285,1815.857142857143,12620.57142857143,4840.285714285715,low ridership
Bay Ridge Av (R),1302.5714285714284,3525.1428571428573,9357.714285714286,8018.0,6308.142857142857,5345.285714285715,3548.4285714285716,1588.5714285714284,6094.714285714285,2611.714285714286,13008.142857142857,5170.714285714285,low ridership
Bay Ridge-95 St (R),925.0,2944.714285714286,5720.571428571428,6140.857142857143,4388.285714285715,3451.5714285714284,2167.0,1376.5714285714287,3931.142857142857,1508.7142857142858,9621.285714285714,3242.285714285714,low ridership
Baychester Av (5),274.7142857142857,1853.2857142857142,2386.8571428571427,2450.857142857143,1802.857142857143,1072.142857142857,834.7142857142858,841.1428571428571,1712.4285714285713,965.4285714285714,3892.285714285714,1109.7142857142858,low ridership
"Beach 105 St (A,S)",64.71428571428571,184.57142857142858,208.71428571428572,168.28571428571428,439.85714285714283,352.57142857142856,76.14285714285714,94.0,409.0,113.85714285714286,405.57142857142856,369.42857142857144,low ridership
Beach 25 St (A),231.71428571428572,1449.0,1398.7142857142858,1315.142857142857,830.0,696.0,595.1428571428571,486.2857142857143,896.1428571428571,451.8571428571429,2368.285714285714,732.2857142857143,low ridership
Beach 36 St (A),139.14285714285714,674.8571428571429,717.8571428571429,633.8571428571429,549.2857142857142,419.42857142857144,265.42857142857144,341.7142857142857,558.5714285714286,204.71428571428572,1131.5714285714287,406.7142857142857,low ridership
Beach 44 St (A),154.0,665.5714285714286,581.4285714285714,612.7142857142858,479.42857142857144,364.42857142857144,287.42857142857144,305.7142857142857,471.7142857142857,167.71428571428572,1027.5714285714284,369.57142857142856,low ridership
Beach 60 St (A),269.42857142857144,1554.142857142857,1464.5714285714287,1274.0,1045.4285714285713,842.7142857142857,632.2857142857143,630.5714285714286,1199.0,374.85714285714283,2440.857142857143,878.0,low ridership
Beach 67 St (A),456.57142857142856,1703.4285714285713,2015.2857142857142,1762.0,1706.0,1595.5714285714287,838.5714285714286,784.1428571428571,1861.5714285714284,519.2857142857142,3331.285714285714,1602.857142857143,low ridership
"Beach 90 St (A,S)",159.28571428571428,570.1428571428571,555.5714285714286,546.5714285714286,724.5714285714286,754.0,242.85714285714286,180.57142857142856,877.4285714285714,168.14285714285714,1109.142857142857,786.0,low ridership
"Beach 98 St (A,S)",82.0,323.57142857142856,400.42857142857144,308.2857142857143,448.42857142857144,419.42857142857144,161.85714285714286,172.0,476.0,131.14285714285714,610.8571428571429,413.7142857142857,low ridership
Bedford Av (L),18876.857142857145,7306.428571428572,35460.42857142857,20758.714285714286,39694.857142857145,37722.42857142857,17658.571428571428,6841.142857142857,31487.14285714286,10249.714285714286,58891.0,39881.0,low ridership
"Bedford Park Blvd (B,D)",930.8571428571428,3683.285714285714,5507.428571428572,5534.857142857143,4083.714285714286,2780.5714285714284,2448.285714285714,1787.5714285714287,3837.0,1673.5714285714287,8917.0,3052.285714285714,low ridership
Bedford Park Blvd-Lehman College (4),1028.0,3169.0,4956.857142857143,3306.4285714285716,5125.142857142857,3191.8571428571427,1880.2857142857142,2244.5714285714284,3851.714285714286,2439.285714285714,6801.142857142858,3032.714285714286,low ridership
Bedford-Nostrand Avs (G),1941.4285714285713,2367.1428571428573,10623.142857142857,7551.0,8421.285714285714,7827.857142857143,5450.571428571428,2325.5714285714284,5550.428571428572,2211.0,14540.285714285714,7304.714285714286,low ridership
"Bergen St (2,3)",1707.857142857143,806.7142857142857,5367.0,4024.285714285714,4759.0,4522.857142857143,2273.1428571428573,1011.0,3714.0,1552.7142857142858,8267.714285714286,4389.285714285715,low ridership
"Bergen St (F,G)",4099.0,1566.4285714285716,12329.714285714286,7497.571428571428,15969.0,10729.42857142857,4343.0,2690.0,10827.142857142857,6403.857142857143,17217.571428571428,10126.0,low ridership
Beverley Rd (Q),752.1428571428571,1607.142857142857,3731.1428571428573,3535.285714285714,2710.4285714285716,2466.714285714286,2041.857142857143,731.7142857142858,2449.285714285714,736.8571428571429,6020.857142857143,2546.1428571428573,low ridership
"Beverly Rd (2,5)",693.0,2470.0,4646.714285714286,4776.714285714286,2744.285714285714,2575.0,2095.1428571428573,968.2857142857143,2774.5714285714284,731.8571428571429,7360.285714285715,2538.1428571428573,low ridership
"Bowery (J,Z)",2705.857142857143,1166.0,2890.714285714286,700.7142857142857,4923.571428571428,4239.142857142857,1399.7142857142858,976.8571428571429,4516.714285714286,1650.5714285714284,4806.714285714286,4713.571428571428,low ridership
"Bowling Green (4,5)",4962.428571428572,4523.428571428572,21198.285714285714,8744.857142857143,43584.28571428572,12719.857142857143,4226.857142857143,9413.0,25878.571428571428,26295.428571428572,19198.428571428572,12541.142857142857,low ridership
"Briarwood (E,F)",677.7142857142857,2951.8571428571427,5429.142857142857,5200.428571428572,3151.5714285714284,3050.0,2349.8571428571427,1153.5714285714287,3153.142857142857,1098.857142857143,9019.0,2989.8571428571427,low ridership
"Brighton Beach (B,Q)",2477.4285714285716,4359.285714285715,12979.857142857143,8818.714285714286,11073.0,7940.142857142858,3809.285714285714,2233.285714285714,11618.285714285714,4530.571428571428,16367.714285714286,8185.142857142857,low ridership
"Broad Channel (A,S)",45.285714285714285,305.57142857142856,220.14285714285714,285.14285714285717,192.71428571428572,136.71428571428572,87.71428571428571,113.57142857142857,260.85714285714283,58.57142857142857,530.0,142.85714285714286,low ridership
"Broad St (J,Z)",1981.7142857142858,777.0,4567.857142857143,826.4285714285714,13050.0,3894.714285714286,1291.4285714285713,2745.8571428571427,6907.285714285714,7420.285714285715,4296.428571428572,3859.142857142857,low ridership
Broadway (G),1185.857142857143,1442.0,4323.857142857143,2754.142857142857,5415.714285714286,3785.5714285714284,1673.0,1791.0,3444.8571428571427,2654.857142857143,5583.857142857143,3709.285714285714,low ridership
"Broadway (N,W)",2381.714285714286,3746.4285714285716,14471.714285714286,12592.857142857143,10601.714285714286,8456.57142857143,7422.714285714285,2630.285714285714,8111.714285714285,2568.857142857143,22286.714285714286,8990.714285714286,low ridership
"Broadway Junction (A,C,J,L,Z)",2157.5714285714284,4936.285714285715,8136.142857142858,6061.428571428572,7240.571428571429,7725.857142857143,3511.285714285714,3702.285714285714,6300.857142857143,2508.714285714286,11088.57142857143,5868.857142857143,low ridership
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",22734.571428571428,6339.857142857143,32956.142857142855,9201.714285714286,68700.0,39015.0,9450.0,9443.571428571428,59386.571428571435,23467.857142857145,49125.57142857143,42893.42857142857,high ridership
"Bronx Park East (2,5)",337.57142857142856,1448.5714285714284,1934.4285714285716,2162.4285714285716,1410.0,1027.7142857142858,848.1428571428571,640.1428571428571,1503.857142857143,587.5714285714286,3371.5714285714284,1131.2857142857142,low ridership
Brook Av (6),936.7142857142857,2456.4285714285716,5394.285714285715,3329.0,4847.857142857143,3190.4285714285716,2083.5714285714284,1978.857142857143,3789.0,2088.5714285714284,6395.428571428572,2988.142857142857,low ridership
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",8136.714285714286,2633.714285714286,27585.14285714286,7050.571428571429,50226.42857142857,15530.142857142857,4860.857142857143,10771.714285714286,33388.71428571428,30385.428571428572,20979.714285714286,16084.0,low ridership
"Bryant Pk (B,D,F,M)/5 Av (7)",25838.714285714286,6739.857142857143,36350.42857142857,4735.714285714285,107508.28571428571,28514.142857142855,7966.428571428572,16762.571428571428,68507.42857142857,57473.71428571429,40887.57142857143,30560.714285714286,high ridership
Buhre Av (6),460.14285714285717,2799.4285714285716,3234.4285714285716,4480.857142857143,1851.0,1673.142857142857,1387.857142857143,738.5714285714286,2441.5714285714284,742.2857142857143,6789.142857142858,1751.857142857143,low ridership
"Burke Av (2,5)",350.85714285714283,2010.2857142857142,2315.0,2259.5714285714284,1436.0,1155.142857142857,946.2857142857142,611.5714285714286,1684.7142857142858,552.4285714285714,3816.5714285714284,1226.4285714285713,low ridership
Burnside Av (4),1744.7142857142858,5195.857142857143,9177.285714285714,6688.142857142857,7437.571428571428,6270.285714285714,3605.142857142857,2521.285714285714,6570.428571428572,2951.1428571428573,11301.285714285714,5223.571428571428,low ridership
Bushwick Av-Aberdeen St (L),585.7142857142858,1046.5714285714284,2675.142857142857,2102.0,2371.4285714285716,2089.0,1642.142857142857,693.8571428571429,1670.4285714285716,526.0,3956.4285714285716,1954.857142857143,low ridership
Canal St (1),2248.4285714285716,813.5714285714286,4313.285714285715,1099.142857142857,10210.57142857143,3399.714285714286,1161.4285714285713,1246.857142857143,7309.571428571428,5229.285714285714,4842.428571428572,3786.5714285714284,low ridership
"Canal St (A,C,E)",8602.714285714286,2695.714285714286,14085.42857142857,3118.714285714286,37735.42857142857,13956.142857142857,3701.1428571428573,6888.857142857143,24247.857142857145,20181.71428571429,16131.57142857143,14878.857142857143,low ridership
"Canal St (J,N,Q,R,W,Z,6)",22372.285714285714,4587.714285714286,41463.71428571429,6190.428571428572,81356.71428571429,46668.57142857143,8514.285714285716,8952.857142857143,70234.0,33066.57142857143,44818.14285714286,49375.857142857145,high ridership
Canarsie-Rockaway Pkwy (L),594.5714285714286,1643.142857142857,2652.8571428571427,2320.4285714285716,2060.0,1333.0,1088.0,990.4285714285714,1857.7142857142858,920.1428571428571,4234.571428571428,1345.7142857142858,low ridership
"Carroll St (F,G)",2849.4285714285716,1649.2857142857142,12523.714285714286,10050.428571428572,15903.571428571428,9024.285714285714,4366.428571428572,3784.0,9803.285714285714,6438.285714285714,18014.14285714286,8436.857142857143,low ridership
Castle Hill Av (6),909.4285714285714,3919.5714285714284,4908.285714285714,4864.428571428572,3250.0,2627.285714285714,2089.1428571428573,1365.4285714285716,3797.8571428571427,1236.4285714285713,8599.0,2896.5714285714284,low ridership
Cathedral Pkwy (110 St) (1),4210.428571428572,1618.7142857142858,13413.857142857143,6533.285714285714,17279.14285714286,10008.57142857143,5949.714285714285,3870.1428571428573,11650.285714285714,5730.428571428572,15317.714285714286,9965.0,low ridership
"Cathedral Pkwy (110 St) (C,B)",1844.2857142857142,1417.7142857142858,8879.42857142857,5800.857142857143,8986.42857142857,6776.0,4376.857142857143,2022.2857142857142,6256.714285714286,2878.8571428571427,11157.857142857141,6570.714285714286,low ridership
Central Av (M),750.2857142857143,1481.142857142857,4581.142857142857,3585.857142857143,3242.285714285714,2869.285714285714,2462.8571428571427,1025.0,2264.857142857143,654.5714285714286,6372.714285714285,2951.5714285714284,low ridership
"Central Park North (110 St) (2,3)",1366.857142857143,1691.2857142857142,6977.428571428572,4952.857142857143,7013.428571428572,5421.142857142857,3248.714285714286,2154.1428571428573,5398.428571428572,2956.857142857143,8903.285714285714,5168.285714285715,low ridership
"Chambers St (1,2,3)",6642.0,1610.2857142857142,15023.0,4806.857142857143,35007.857142857145,9184.0,2879.428571428571,6997.714285714286,20443.0,22489.571428571428,14899.428571428572,9487.0,low ridership
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",17152.571428571428,7168.428571428572,52055.857142857145,17719.142857142855,116178.28571428571,35266.857142857145,11506.142857142857,21035.14285714286,67651.28571428571,62514.0,50940.857142857145,34510.28571428572,high ridership
"Chauncey St (J,Z)",682.5714285714286,1016.0,3087.142857142857,2215.285714285714,2254.8571428571427,2022.4285714285713,1614.4285714285713,724.0,1894.4285714285713,750.4285714285714,4194.285714285715,2002.857142857143,low ridership
Christopher St-Sheridan Sq (1),9155.571428571428,3691.285714285714,10621.42857142857,4244.285714285714,14826.428571428572,11773.42857142857,4686.142857142858,2381.285714285714,13320.0,4683.428571428572,18334.0,13523.142857142857,low ridership
"Church Av (2,5)",1540.142857142857,4479.285714285714,9555.285714285714,7644.428571428572,6332.714285714286,5358.571428571428,4061.714285714286,2007.857142857143,6147.285714285715,2007.2857142857142,14233.42857142857,5332.571428571428,low ridership
"Church Av (B,Q)",2530.0,6235.571428571428,16722.571428571428,14777.285714285716,11289.142857142857,8596.857142857143,7885.0,2949.5714285714284,10574.428571428572,3606.0,24440.571428571428,9569.285714285714,low ridership
"Church Av (F,G)",1671.857142857143,4129.428571428572,9905.57142857143,9111.57142857143,7760.571428571428,7720.0,4666.285714285715,2886.857142857143,7042.714285714286,2655.714285714286,14832.42857142857,6567.285714285715,low ridership
"City Hall (R,W)",1764.0,377.7142857142857,5802.0,1153.2857142857142,11230.285714285714,2926.0,916.0,1813.7142857142858,7442.571428571428,5967.714285714285,4503.428571428572,3073.1428571428573,low ridership
"Clark St (2,3)",2851.714285714286,815.7142857142857,8034.714285714286,4578.571428571428,8642.857142857143,7897.142857142858,3178.0,1360.857142857143,7134.0,3037.857142857143,10855.714285714286,7792.285714285714,low ridership
Classon Av (G),1111.0,1134.2857142857142,6617.285714285714,4762.142857142857,6034.142857142857,4691.428571428572,3004.0,1364.857142857143,3800.4285714285716,1854.7142857142858,8874.714285714286,4471.285714285715,low ridership
Cleveland St (J),303.42857142857144,1089.7142857142858,1901.4285714285716,1880.5714285714287,1229.857142857143,1086.142857142857,803.4285714285714,435.85714285714283,1572.5714285714284,545.2857142857142,3086.285714285714,1144.7142857142858,low ridership
Clinton-Washington Avs (C),1688.0,1155.0,8617.0,6227.857142857143,8131.285714285715,6193.285714285715,3858.571428571429,1721.2857142857142,5106.428571428572,3129.285714285714,11640.142857142857,5895.428571428572,low ridership
Clinton-Washington Avs (G),1432.7142857142858,753.7142857142858,5737.428571428572,3891.285714285714,7054.285714285715,4326.0,2373.1428571428573,1447.0,4517.714285714286,2805.571428571429,8106.857142857143,4169.0,low ridership
"Coney Island-Stillwell Av (D,F,N,Q)",4931.0,7128.142857142857,14734.857142857143,8553.142857142857,15228.57142857143,14938.57142857143,4207.714285714286,5002.428571428572,15772.57142857143,4996.714285714286,17194.428571428572,13489.285714285714,low ridership
Cortelyou Rd (Q),1031.2857142857142,2480.571428571429,6460.142857142857,5975.714285714285,4220.857142857143,4099.571428571428,3250.0,1091.0,4161.285714285715,1222.5714285714287,10060.714285714286,4135.0,low ridership
"Court Sq (E,G,M,7)",8333.0,4682.0,26827.285714285714,13579.571428571428,39627.71428571428,19978.428571428572,10540.42857142857,12341.285714285714,22512.428571428572,18860.285714285714,35233.57142857143,19858.571428571428,low ridership
"Court St (R)/Borough Hall (2,3,4,5)",7916.428571428572,2698.285714285714,34069.14285714286,13471.285714285714,48173.42857142857,14878.0,6720.714285714286,9503.428571428572,34972.42857142857,27841.57142857143,30707.285714285714,15871.0,low ridership
"Crescent St (J,Z)",545.1428571428571,2070.0,3363.1428571428573,2960.4285714285716,2084.4285714285716,2074.4285714285716,1450.7142857142858,998.0,2636.285714285714,685.7142857142857,5471.571428571428,2115.5714285714284,low ridership
"Crown Hts-Utica Av (3,4)",4404.714285714285,12642.142857142857,26288.14285714286,23693.428571428572,17055.85714285714,15528.0,10632.285714285714,5930.571428571428,16520.714285714286,6082.571428571428,39237.0,14089.0,low ridership
