,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",57630.42857142857,15365.714285714286,81297.42857142858,23228.285714285717,157647.42857142858,84051.85714285714,22232.285714285714,27075.85714285714,125654.14285714286,70773.71428571429,111290.42857142858,89885.71428571429,high ridership
145 St (1),2126.4285714285716,3626.4285714285716,10430.714285714286,6456.571428571428,8060.0,7397.0,5710.857142857143,2301.8571428571427,7089.428571428572,1974.857142857143,13550.57142857143,7755.0,low ridership
145 St (3),441.0,1078.142857142857,3117.8571428571427,2515.4285714285716,2317.5714285714284,1582.142857142857,1214.5714285714284,847.4285714285714,2120.714285714286,746.7142857142857,3941.8571428571427,1622.857142857143,low ridership
"145 St (A,C,B,D)",5222.428571428572,8333.571428571428,25012.14285714286,16109.571428571428,22707.571428571428,17841.428571428572,12930.857142857143,6465.0,17828.571428571428,7953.714285714285,31013.714285714286,16715.714285714286,low ridership
"149 St-Grand Concourse (2,4,5)",2716.285714285714,3985.285714285714,8957.57142857143,4968.142857142857,11506.714285714286,5849.142857142857,2973.714285714286,4105.571428571428,8385.857142857143,6489.428571428572,10419.857142857143,5634.142857142858,low ridership
"15 St-Prospect Park (F,G)",1463.7142857142858,1215.2857142857142,6574.142857142857,6072.571428571428,6454.428571428572,5265.428571428572,2669.714285714286,1272.142857142857,4776.285714285715,2234.857142857143,10742.0,5094.857142857143,low ridership
"155 St (B,D)",564.2857142857143,1319.4285714285716,2679.714285714286,2132.1428571428573,2103.857142857143,1438.2857142857142,977.2857142857143,773.2857142857142,2166.0,892.0,3534.1428571428573,1491.4285714285716,low ridership
155 St (C),429.8571428571429,1062.857142857143,3006.8571428571427,2139.857142857143,2042.2857142857144,2307.285714285714,1564.857142857143,785.8571428571429,1813.0,611.7142857142858,3727.5714285714284,2095.5714285714284,low ridership
157 St (1),1837.2857142857142,4063.142857142857,11479.42857142857,7532.428571428572,8901.0,6974.0,5851.714285714285,2578.285714285714,7561.428571428572,2674.714285714286,14820.42857142857,7494.0,low ridership
"161 St-Yankee Stadium (B,D,4)",16887.14285714286,10359.857142857143,21464.142857142855,13673.857142857143,23541.285714285714,21507.857142857145,7951.571428571428,6853.0,20467.142857142855,10515.285714285716,38585.71428571428,20531.714285714286,low ridership
163 St-Amsterdam Av (C),634.4285714285714,2084.1428571428573,4477.428571428572,3298.0,3219.0,3206.0,2597.714285714286,1215.857142857143,2836.714285714286,938.5714285714286,6163.428571428572,3203.142857142857,low ridership
167 St (4),1339.0,5520.714285714285,7819.857142857143,6414.0,5494.285714285714,5307.428571428572,3597.1428571428573,2194.5714285714284,6062.0,2367.571428571429,11796.714285714286,5197.857142857143,low ridership
"167 St (B,D)",1120.857142857143,4116.571428571428,7320.428571428572,5617.285714285714,5107.285714285715,3289.0,3234.5714285714284,2171.285714285714,4977.285714285715,2059.714285714286,9987.571428571428,3823.857142857143,low ridership
"168 St (A,C,1)",5686.0,5842.857142857143,23324.85714285714,11700.714285714284,39278.57142857143,15266.714285714286,9229.0,10642.142857142857,24297.571428571428,18868.285714285714,23592.428571428572,14387.285714285714,low ridership
169 St (F),1326.0,4380.142857142857,9247.0,6234.142857142857,6517.428571428572,4851.571428571428,3667.1428571428573,2501.5714285714284,5750.285714285715,2478.714285714286,11659.142857142857,4658.0,low ridership
170 St (4),1308.0,3903.4285714285716,6007.285714285715,5093.714285714285,5215.428571428572,4182.285714285715,2667.4285714285716,1962.142857142857,5049.714285714285,2224.285714285714,9339.857142857143,4058.285714285714,low ridership
"170 St (B,D)",694.7142857142857,2744.1428571428573,5056.428571428572,4075.8571428571427,3784.571428571429,2113.5714285714284,2174.571428571429,1452.4285714285713,3237.714285714286,1631.5714285714287,6990.571428571428,2436.285714285714,low ridership
"174 St (2,5)",850.8571428571429,2913.714285714286,5270.285714285715,3503.285714285714,4233.285714285715,2535.4285714285716,1775.4285714285716,1542.0,3952.8571428571427,2339.4285714285716,6711.571428571428,2686.714285714286,low ridership
"174-175 Sts (B,D)",585.5714285714286,1932.142857142857,3994.142857142857,2813.2857142857147,3697.8571428571427,1633.4285714285713,1632.2857142857142,1370.4285714285713,2708.4285714285716,1616.0,4739.0,1766.857142857143,low ridership
175 St (A),1792.7142857142858,4348.0,11672.857142857143,8621.571428571428,9072.142857142857,7619.428571428572,5131.142857142857,2782.0,7280.571428571428,2853.5714285714284,16376.285714285714,7172.714285714286,low ridership
176 St (4),876.7142857142857,3109.714285714286,4698.714285714286,3973.285714285714,3812.0,3132.142857142857,2047.857142857143,1455.857142857143,3364.0,1664.0,6749.857142857143,2920.142857142857,low ridership
18 Av (D),803.7142857142858,3692.714285714286,6333.428571428572,6772.857142857143,4011.285714285714,4352.285714285715,2405.1428571428573,1253.7142857142858,4562.0,1393.857142857143,11253.0,4317.285714285715,low ridership
18 Av (F),591.0,1493.857142857143,3479.0,3107.714285714286,3487.285714285714,1810.142857142857,1273.5714285714284,1074.2857142857142,2706.4285714285716,1780.0,5107.571428571428,1906.857142857143,low ridership
18 Av (N),735.7142857142857,2337.857142857143,5789.571428571428,4590.571428571428,4146.285714285715,3708.5714285714284,2110.5714285714284,1050.5714285714287,4017.714285714286,1733.857142857143,8389.142857142857,3640.8571428571427,low ridership
18 St (1),3821.142857142857,1046.7142857142858,7416.714285714286,2532.8571428571427,12581.285714285714,6224.0,1926.857142857143,1874.0,9957.714285714286,5962.428571428572,9200.0,6920.0,low ridership
181 St (1),1990.0,4076.285714285714,11373.571428571428,7161.857142857143,9230.42857142857,6193.428571428572,4354.571428571428,2191.8571428571427,8550.571428571428,3462.5714285714284,12933.285714285714,6207.0,low ridership
181 St (A),1170.4285714285713,2813.857142857143,11170.0,8912.0,7541.857142857143,7389.571428571428,5852.142857142857,1774.4285714285716,6511.0,1953.857142857143,15973.0,7272.714285714286,low ridership
"182-183 Sts (B,D)",691.7142857142857,2545.285714285714,4252.285714285715,3376.1428571428573,3013.4285714285716,1783.4285714285716,1826.0,1315.5714285714287,2706.4285714285716,1062.5714285714287,5471.428571428572,1929.4285714285716,low ridership
183 St (4),941.1428571428571,3890.285714285714,4857.571428571428,4184.428571428572,3252.1428571428573,3505.5714285714284,2461.714285714286,1457.857142857143,3440.8571428571427,1172.4285714285713,7292.714285714285,3248.5714285714284,low ridership
190 St (A),507.4285714285714,1408.7142857142858,5143.285714285715,4451.285714285715,3785.0,3547.5714285714284,2727.714285714286,1073.5714285714287,3179.142857142857,1048.0,7492.714285714286,3614.714285714286,low ridership
191 St (1),1320.142857142857,3467.285714285714,7745.428571428572,5742.142857142857,5779.428571428572,4328.285714285715,3692.8571428571427,1777.4285714285716,5151.857142857143,2132.714285714286,10353.714285714286,4486.142857142857,low ridership
2 Av (F),11783.857142857143,5054.142857142857,15163.0,7666.428571428571,20906.85714285714,18193.571428571428,7235.285714285715,4617.428571428571,17509.714285714286,7293.714285714286,26587.857142857145,20435.0,low ridership
20 Av (D),838.0,3087.4285714285716,5453.142857142857,5402.0,3092.142857142857,3820.285714285714,2245.0,918.7142857142858,3772.142857142857,1062.142857142857,9361.285714285714,3671.8571428571427,low ridership
20 Av (N),414.2857142857143,2211.5714285714284,5423.0,4795.571428571428,2569.714285714286,2743.1428571428573,1782.2857142857144,806.7142857142858,2886.8571428571427,1725.5714285714287,7172.285714285715,2684.0,low ridership
207 St (1),1395.4285714285713,2563.142857142857,5958.714285714285,4041.8571428571427,6036.571428571428,3637.8571428571427,2238.714285714286,2549.285714285714,4936.857142857143,2080.857142857143,7512.142857142857,3642.8571428571427,low ridership
21 St (G),675.8571428571429,325.42857142857144,1249.4285714285713,592.8571428571429,3235.857142857143,1769.2857142857142,594.7142857142857,939.2857142857142,1558.7142857142858,1353.142857142857,1971.142857142857,1518.857142857143,low ridership
21 St-Queensbridge (F),1181.5714285714287,1828.0,6486.571428571428,3635.4285714285716,6285.428571428572,4225.285714285715,2862.1428571428573,2519.285714285714,4605.142857142857,2755.4285714285716,7169.714285714285,4074.8571428571427,low ridership
215 St (1),583.0,537.1428571428571,2703.1428571428573,1721.0,2821.857142857143,1413.4285714285716,780.7142857142858,823.0,2371.8571428571427,1294.0,2951.5714285714284,1453.2857142857142,low ridership
"219 St (2,5)",420.57142857142856,1626.7142857142858,1556.5714285714287,2026.4285714285716,1299.142857142857,1049.142857142857,780.0,464.8571428571429,1382.2857142857142,507.42857142857144,3139.285714285714,1053.5714285714287,low ridership
"225 St (2,5)",546.0,2143.4285714285716,2055.714285714286,2446.1428571428573,1757.142857142857,1294.142857142857,923.1428571428571,679.7142857142858,1889.4285714285716,702.5714285714286,3961.4285714285716,1345.142857142857,low ridership
23 St (1),7051.0,2065.714285714286,13651.714285714284,4322.714285714286,20547.571428571428,12501.57142857143,4096.285714285715,3403.857142857143,16898.714285714286,8735.142857142859,16560.571428571428,12998.857142857143,low ridership
23 St (6),10095.42857142857,2887.8571428571427,25600.14285714286,9331.857142857143,39259.857142857145,13583.0,5324.285714285715,7859.142857142857,31703.428571428572,19228.571428571428,25449.428571428572,14567.714285714286,low ridership
"23 St (C,E)",10229.0,2717.4285714285716,20579.714285714286,8330.857142857143,34275.71428571428,14981.714285714286,6339.428571428572,6235.571428571428,24350.42857142857,15305.0,25370.0,16151.857142857143,low ridership
"23 St (F,M)",10579.57142857143,2730.714285714286,24267.14285714286,10095.857142857143,42974.57142857143,15954.142857142857,5889.571428571428,6827.142857142857,31361.428571428572,19732.285714285714,29925.0,17650.0,low ridership
"23 St (R,W)",8903.857142857143,1969.857142857143,18135.85714285714,4050.8571428571427,34439.142857142855,17799.714285714286,4226.857142857143,4920.714285714285,27242.0,14364.142857142859,20774.714285714286,18293.714285714286,low ridership
