,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
Bay Ridge-95 St (R),-0.01,0.02,-0.01,0.07,-0.04,-0.01,0.0,-0.01,-0.02,-0.02,0.08,-0.01,residential
Baychester Av (5),-0.02,0.09,-0.01,0.06,-0.05,-0.05,-0.01,0.02,-0.02,0.01,0.06,-0.04,residential
"Beach 105 St (A,S)",0.0,0.03,-0.1,-0.07,0.08,0.09,-0.05,-0.01,0.08,-0.01,-0.08,0.09,destination
Beach 25 St (A),-0.01,0.14,-0.01,0.03,-0.09,-0.04,0.01,0.02,-0.04,-0.01,0.07,-0.03,residential
Beach 36 St (A),-0.01,0.12,-0.02,0.01,-0.05,-0.03,-0.01,0.05,-0.01,-0.02,0.03,-0.02,residential
Beach 44 St (A),0.0,0.13,-0.05,0.02,-0.06,-0.03,0.01,0.05,-0.02,-0.03,0.03,-0.02,residential
Beach 60 St (A),-0.01,0.14,-0.02,0.01,-0.07,-0.03,0.0,0.03,-0.01,-0.03,0.04,-0.02,residential
Beach 67 St (A),0.0,0.08,-0.03,0.0,-0.05,0.01,-0.01,0.02,0.01,-0.03,0.01,0.02,residential
"Beach 90 St (A,S)",0.0,0.07,-0.08,-0.02,-0.01,0.07,-0.03,-0.02,0.06,-0.04,-0.03,0.07,destination
"Beach 98 St (A,S)",-0.01,0.06,-0.05,-0.03,0.0,0.05,-0.02,0.02,0.04,-0.02,-0.05,0.05,residential
Bedford Av (L),0.07,-0.05,-0.03,-0.06,0.02,0.08,0.01,-0.03,-0.01,-0.03,0.0,0.08,destination
"Bedford Park Blvd (B,D)",-0.01,0.06,-0.01,0.06,-0.05,-0.04,0.01,0.01,-0.02,-0.01,0.05,-0.02,residential
Bedford Park Blvd-Lehman College (4),0.0,0.05,-0.01,-0.03,0.02,-0.01,-0.01,0.04,-0.01,0.03,-0.02,-0.01,residential
Bedford-Nostrand Avs (G),0.0,-0.04,0.02,0.0,-0.01,0.04,0.05,-0.01,-0.05,-0.03,0.03,0.04,residential
"Bergen St (2,3)",0.03,-0.06,0.0,0.0,-0.01,0.05,0.01,-0.02,-0.02,-0.02,0.03,0.05,residential
"Bergen St (F,G)",0.03,-0.07,-0.01,-0.05,0.08,0.05,-0.02,-0.02,0.01,0.03,-0.03,0.04,destination
Beverley Rd (Q),0.0,0.01,0.0,0.05,-0.05,0.01,0.04,-0.02,-0.03,-0.04,0.05,0.02,residential
"Beverly Rd (2,5)",-0.01,0.04,0.01,0.08,-0.08,-0.02,0.03,-0.01,-0.03,-0.05,0.09,-0.01,residential
"Bowery (J,Z)",0.11,-0.03,-0.08,-0.15,0.07,0.09,-0.02,-0.02,0.05,0.0,-0.09,0.1,destination
"Bowling Green (4,5)",0.0,-0.05,-0.03,-0.1,0.23,-0.03,-0.06,0.03,0.07,0.18,-0.16,-0.03,destination
"Briarwood (E,F)",-0.02,0.04,0.02,0.06,-0.08,-0.01,0.02,-0.01,-0.04,-0.03,0.1,-0.01,residential
"Brighton Beach (B,Q)",0.0,-0.01,0.02,0.0,0.0,0.01,-0.02,-0.02,0.05,0.01,-0.01,0.02,residential
"Broad Channel (A,S)",-0.01,0.16,-0.06,0.05,-0.07,-0.04,-0.03,0.03,0.02,-0.04,0.08,-0.04,residential
"Broad St (J,Z)",0.03,-0.07,-0.07,-0.16,0.29,0.0,-0.05,0.03,0.06,0.19,-0.2,-0.01,destination
Broadway (G),0.01,-0.02,-0.02,-0.04,0.06,0.04,-0.01,0.02,-0.02,0.05,-0.06,0.04,destination
"Broadway (N,W)",0.0,-0.03,0.03,0.05,-0.03,0.0,0.04,-0.02,-0.04,-0.04,0.07,0.01,residential
"Broadway Junction (A,C,J,L,Z)",0.01,0.04,-0.03,-0.02,-0.03,0.05,0.01,0.04,-0.01,-0.01,-0.02,0.02,residential
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",0.08,-0.06,-0.07,-0.14,0.15,0.06,-0.05,-0.02,0.11,0.03,-0.11,0.06,destination
"Bronx Park East (2,5)",-0.01,0.07,-0.02,0.07,-0.06,-0.04,0.0,0.01,-0.01,-0.02,0.06,-0.02,residential
Brook Av (6),0.0,0.02,0.02,-0.02,0.01,0.0,0.01,0.03,0.0,0.02,-0.03,-0.01,residential
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",0.02,-0.08,0.0,-0.13,0.22,-0.02,-0.06,0.02,0.09,0.17,-0.18,-0.02,destination
"Bryant Pk (B,D,F,M)/5 Av (7)",0.07,-0.07,-0.08,-0.17,0.28,-0.02,-0.06,0.01,0.11,0.17,-0.18,-0.02,destination
Buhre Av (6),-0.02,0.09,-0.03,0.12,-0.1,-0.04,0.0,-0.02,-0.02,-0.04,0.13,-0.03,residential
"Burke Av (2,5)",-0.01,0.11,-0.01,0.05,-0.08,-0.04,0.01,0.0,-0.01,-0.03,0.07,-0.02,residential
Burnside Av (4),0.0,0.04,0.0,-0.01,-0.03,0.01,0.01,0.01,0.0,0.0,-0.01,0.0,residential
Bushwick Av-Aberdeen St (L),0.0,0.0,0.0,0.0,-0.01,0.03,0.06,0.0,-0.04,-0.04,0.02,0.03,residential
Canal St (1),0.05,-0.06,-0.05,-0.14,0.23,-0.01,-0.05,-0.02,0.11,0.13,-0.15,0.0,destination
"Canal St (A,C,E)",0.06,-0.07,-0.07,-0.15,0.24,0.01,-0.06,0.01,0.08,0.14,-0.17,0.01,destination
"Canal St (J,N,Q,R,W,Z,6)",0.06,-0.08,-0.05,-0.16,0.17,0.07,-0.06,-0.03,0.13,0.06,-0.15,0.07,destination
Canarsie-Rockaway Pkwy (L),0.01,0.05,0.0,0.03,-0.04,-0.03,0.0,0.02,-0.02,0.0,0.05,-0.03,residential
"Carroll St (F,G)",0.0,-0.07,-0.01,0.0,0.08,0.01,-0.01,0.0,-0.01,0.04,-0.01,0.01,residential
Castle Hill Av (6),-0.01,0.09,-0.01,0.05,-0.07,-0.03,0.0,0.0,-0.01,-0.03,0.07,-0.02,residential
Cathedral Pkwy (110 St) (1),0.03,-0.07,0.0,-0.07,0.1,0.03,0.01,0.0,0.02,0.02,-0.07,0.03,destination
"Cathedral Pkwy (110 St) (C,B)",0.0,-0.06,0.01,-0.02,0.04,0.04,0.03,-0.01,-0.01,0.0,-0.02,0.04,residential
Central Av (M),0.0,-0.01,0.03,0.03,-0.03,0.01,0.06,0.0,-0.06,-0.05,0.05,0.03,residential
"Central Park North (110 St) (2,3)",0.0,-0.04,0.0,-0.01,0.03,0.04,0.02,0.01,-0.01,0.02,-0.04,0.03,residential
"Chambers St (1,2,3)",0.04,-0.08,-0.04,-0.12,0.25,-0.03,-0.06,0.02,0.06,0.2,-0.17,-0.04,destination
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",0.02,-0.07,-0.04,-0.12,0.24,-0.02,-0.05,0.01,0.07,0.16,-0.15,-0.02,destination
"Chauncey St (J,Z)",0.01,-0.01,0.02,0.01,-0.03,0.02,0.04,-0.01,-0.03,-0.02,0.02,0.02,residential
Christopher St-Sheridan Sq (1),0.12,-0.03,-0.05,-0.11,0.04,0.06,-0.02,-0.03,0.03,-0.01,-0.04,0.08,destination
"Church Av (2,5)",-0.01,0.03,0.02,0.03,-0.05,-0.01,0.02,-0.01,-0.02,-0.03,0.06,0.0,residential
"Church Av (B,Q)",-0.01,0.0,0.03,0.06,-0.04,-0.02,0.03,-0.02,-0.02,-0.03,0.05,0.0,residential
"Church Av (F,G)",-0.01,0.0,0.0,0.04,-0.04,0.03,0.02,0.0,-0.02,-0.02,0.02,0.01,residential
"City Hall (R,W)",0.03,-0.08,0.0,-0.14,0.25,-0.03,-0.06,0.01,0.11,0.16,-0.17,-0.03,destination
"Clark St (2,3)",0.04,-0.08,-0.01,-0.05,0.03,0.08,0.0,-0.03,0.01,0.0,-0.03,0.07,destination
Classon Av (G),0.0,-0.05,0.02,0.01,0.02,0.03,0.03,-0.01,-0.04,-0.01,0.02,0.03,residential
Cleveland St (J),-0.01,0.05,0.0,0.06,-0.07,-0.02,0.01,-0.01,0.01,-0.02,0.05,-0.01,residential
Clinton-Washington Avs (C),0.0,-0.06,0.02,0.0,0.02,0.03,0.02,-0.02,-0.04,0.01,0.01,0.03,residential
Clinton-Washington Avs (G),0.01,-0.07,0.0,-0.02,0.07,0.03,0.0,-0.01,-0.01,0.03,-0.01,0.02,residential
"Coney Island-Stillwell Av (D,F,N,Q)",0.03,0.01,-0.03,-0.06,0.0,0.07,-0.03,0.01,0.06,-0.01,-0.08,0.06,destination
Cortelyou Rd (Q),-0.01,0.0,0.02,0.06,-0.06,0.01,0.04,-0.02,-0.03,-0.04,0.06,0.01,residential
"Court Sq (E,G,M,7)",0.02,-0.06,-0.01,-0.07,0.12,0.02,-0.01,0.03,-0.01,0.07,-0.06,0.01,destination
"Court St (R)/Borough Hall (2,3,4,5)",0.02,-0.08,0.03,-0.08,0.17,-0.04,-0.05,0.01,0.08,0.13,-0.12,-0.03,destination
"Crescent St (J,Z)",-0.01,0.06,0.01,0.04,-0.07,0.0,0.01,0.0,0.0,-0.04,0.05,0.0,residential
"Crown Hts-Utica Av (3,4)",-0.01,0.03,0.01,0.05,-0.06,0.0,0.01,-0.01,-0.02,-0.02,0.06,-0.01,residential
Cypress Av (6),0.0,0.0,-0.02,-0.03,0.12,-0.05,-0.01,0.11,-0.01,0.04,-0.09,-0.03,residential
Cypress Hills (J),-0.02,0.09,0.0,0.07,-0.04,-0.08,-0.01,0.0,-0.01,0.01,0.07,-0.04,residential
"DeKalb Av (B,Q,R)",0.03,-0.06,0.01,-0.07,0.11,0.0,-0.02,0.0,0.01,0.08,-0.07,0.01,destination
DeKalb Av (L),0.0,0.0,0.01,0.02,-0.03,0.02,0.05,-0.01,-0.05,-0.04,0.04,0.02,residential
"Delancey St (F)/Essex St (J,M,Z)",0.08,-0.03,-0.05,-0.09,0.05,0.05,-0.01,-0.02,0.01,0.02,-0.05,0.07,destination
Ditmas Av (F),-0.01,0.01,0.01,0.04,0.02,-0.04,0.0,0.01,-0.01,0.02,0.02,-0.03,residential
Dyckman St (1),0.0,0.01,0.02,0.01,-0.02,0.0,0.01,-0.01,0.01,-0.01,0.01,0.01,residential
Dyckman St (A),-0.01,0.0,0.01,0.01,-0.02,0.04,0.03,0.0,-0.02,-0.04,0.01,0.03,residential
E 143 St-St Mary's St (6),-0.01,-0.04,-0.01,-0.06,0.2,-0.06,-0.04,0.16,-0.04,0.14,-0.14,-0.06,destination
E 149 St (6),-0.01,0.05,0.0,0.02,-0.03,0.0,0.02,0.01,-0.01,0.0,0.01,-0.01,residential
"E 180 St (2,5)",-0.01,0.1,-0.03,0.03,-0.06,0.0,0.0,0.01,-0.02,-0.02,0.04,-0.01,residential
East 105 St (L),0.01,0.05,-0.02,0.06,-0.03,-0.05,0.0,0.04,-0.03,0.01,0.04,-0.04,residential
East Broadway (F),0.05,-0.06,-0.01,-0.08,0.07,0.05,-0.02,-0.01,0.04,0.04,-0.08,0.05,destination
Eastchester-Dyre Av (5),-0.02,0.13,-0.05,0.08,-0.06,-0.06,-0.02,0.03,-0.02,-0.02,0.1,-0.05,residential
"Eastern Pkwy-Brooklyn Museum (2,3)",0.0,-0.07,-0.01,-0.04,0.03,0.11,-0.01,-0.04,0.02,-0.01,-0.05,0.1,destination
Elder Av (6),-0.01,0.13,-0.02,0.01,-0.07,-0.01,0.03,0.01,-0.03,-0.02,0.04,0.0,residential
"Elmhurst Av (M,R)",-0.02,0.02,0.04,0.04,-0.07,0.01,0.05,-0.02,-0.03,-0.05,0.04,0.02,residential
"Euclid Av (A,C)",-0.01,0.05,-0.01,0.05,-0.07,0.01,0.02,0.01,-0.02,-0.02,0.03,-0.01,residential
Far Rockaway-Mott Av (A),0.01,0.1,-0.04,-0.04,0.02,-0.02,-0.01,0.09,-0.01,0.01,-0.03,-0.02,residential
"Flatbush Av-Brooklyn College (2,5)",0.0,0.03,0.02,0.05,-0.04,-0.04,0.0,0.0,0.0,-0.01,0.06,-0.03,residential
Flushing Av (G),0.01,-0.04,-0.01,-0.08,0.17,-0.02,-0.03,0.09,-0.01,0.12,-0.13,-0.03,destination
"Flushing Av (M,J)",0.02,-0.04,0.03,-0.08,0.1,0.01,-0.02,0.03,0.04,0.08,-0.1,0.0,destination
Flushing-Main St (7),0.02,0.01,-0.01,-0.02,-0.02,0.03,0.0,0.0,0.0,-0.01,0.0,0.03,residential
Fordham Rd (4),0.0,0.04,0.0,-0.02,-0.03,0.03,0.01,0.01,0.0,0.0,-0.01,0.02,residential
"Fordham Rd (B,D)",0.0,0.04,0.0,0.01,0.0,-0.04,0.0,0.02,0.0,0.01,0.01,-0.02,residential
Forest Av (M),-0.02,0.05,0.01,0.07,-0.08,-0.01,0.04,-0.02,-0.04,-0.06,0.1,0.0,residential
"Forest Hills-71 Av (E,F,M,R)",0.01,-0.01,0.01,0.03,-0.01,0.0,-0.02,-0.02,0.01,-0.01,0.06,0.0,residential
Fort Hamilton Pkwy (D),-0.01,-0.02,0.01,0.0,0.05,-0.01,0.0,0.02,0.0,0.07,-0.05,-0.01,residential
"Fort Hamilton Pkwy (F,G)",-0.02,-0.04,0.01,0.08,-0.02,0.02,0.01,-0.02,-0.03,-0.02,0.08,0.01,residential
Fort Hamilton Pkwy (N),-0.02,0.01,0.03,0.07,-0.06,0.0,0.02,-0.02,-0.01,-0.02,0.05,0.01,residential
"Franklin Av (2,3,4,5)/Botanic Garden (S)",0.0,-0.04,0.01,0.0,0.0,0.04,0.03,-0.01,-0.03,-0.01,0.01,0.04,residential
"Franklin Av (C,S)",0.02,-0.05,0.01,-0.05,0.04,0.05,0.02,0.0,-0.02,0.0,-0.02,0.04,residential
Franklin St (1),0.05,-0.07,-0.02,-0.12,0.2,-0.02,-0.06,-0.02,0.1,0.14,-0.14,-0.01,destination
"Freeman St (2,5)",-0.01,0.06,0.01,0.01,-0.03,-0.03,0.02,0.02,0.0,0.0,0.01,-0.02,residential
Fresh Pond Rd (M),-0.02,0.05,0.0,0.09,-0.08,-0.02,0.02,-0.01,-0.03,-0.05,0.11,-0.01,residential
"Fulton St (A,C,J,Z,2,3,4,5)",0.03,-0.06,-0.05,-0.1,0.19,0.0,-0.04,0.01,0.06,0.14,-0.13,-0.01,destination
Fulton St (G),0.04,-0.06,-0.03,-0.1,0.12,0.05,-0.04,0.02,0.01,0.11,-0.11,0.03,destination
"Gates Av (J,Z)",0.0,-0.02,0.04,0.01,-0.02,0.02,0.05,0.0,-0.05,-0.03,0.03,0.02,residential
Graham Av (L),0.03,-0.05,0.02,-0.01,0.01,0.02,0.03,-0.01,-0.04,-0.02,0.03,0.03,residential
"Grand Army Plaza (2,3)",0.01,-0.07,0.0,-0.01,0.03,0.06,-0.01,-0.02,0.0,0.01,0.0,0.04,residential
"Grand Av-Newtown (M,R)",-0.02,0.03,0.02,0.06,-0.07,-0.01,0.03,-0.02,-0.03,-0.04,0.07,0.01,residential
"Grand Central-42 St (S,4,5,6,7)",0.03,-0.06,-0.03,-0.07,0.16,-0.01,-0.05,0.0,0.05,0.13,-0.09,-0.02,destination
"Grand St (B,D)",0.05,-0.07,-0.02,-0.13,0.13,0.06,-0.05,-0.02,0.1,0.07,-0.14,0.06,destination
Grand St (L),0.03,-0.02,-0.01,-0.05,0.06,0.01,0.01,0.04,-0.02,0.03,-0.04,0.01,residential
Grant Av (A),-0.01,0.05,0.01,0.08,-0.08,-0.02,0.03,0.01,-0.02,-0.04,0.07,-0.02,residential
Greenpoint Av (G),0.03,-0.06,-0.01,-0.04,0.07,0.04,-0.01,0.02,0.0,0.0,-0.03,0.04,destination
"Gun Hill Rd (2,5)",0.0,0.05,0.01,-0.01,-0.02,-0.02,0.0,0.02,0.01,0.02,0.0,-0.02,residential
Gun Hill Rd (5),-0.02,0.11,0.0,0.07,-0.08,-0.05,0.0,0.0,-0.02,-0.02,0.1,-0.04,residential
Halsey St (J),-0.01,0.0,0.03,0.02,-0.04,0.02,0.06,0.0,-0.05,-0.04,0.04,0.02,residential
Halsey St (L),0.01,0.01,0.0,0.02,-0.03,0.02,0.05,0.0,-0.05,-0.04,0.04,0.02,residential
Harlem-148 St (3),-0.01,0.01,0.03,0.05,-0.05,-0.01,0.02,0.0,-0.02,-0.02,0.03,0.0,residential
"Hewes St (M,J)",0.02,-0.04,0.0,-0.05,0.02,0.07,0.02,-0.01,-0.02,0.01,-0.04,0.06,residential
"High St (A,C)",0.05,-0.08,-0.03,-0.09,0.11,0.06,-0.04,-0.02,0.07,0.03,-0.09,0.06,destination
Houston St (1),0.06,-0.07,-0.04,-0.14,0.24,-0.03,-0.05,0.02,0.1,0.15,-0.17,-0.02,destination
Howard Beach-JFK Airport (A),0.06,0.02,-0.04,-0.08,0.01,0.05,-0.02,0.05,0.04,-0.04,-0.06,0.05,destination
"Hoyt St (2,3)",0.04,-0.08,-0.01,-0.12,0.15,0.04,-0.04,-0.01,0.06,0.08,-0.11,0.04,destination
"Hoyt-Schermerhorn Sts (A,C,G)",0.04,-0.07,-0.02,-0.11,0.12,0.05,-0.02,0.0,0.04,0.04,-0.09,0.05,destination
Hunters Point Av (7),0.0,-0.03,-0.06,-0.04,0.26,-0.1,-0.04,0.14,-0.01,0.18,-0.15,-0.09,destination
Hunts Point Av (6),0.0,0.05,-0.02,0.01,-0.01,-0.02,0.0,0.03,-0.01,0.02,0.0,-0.02,residential
"Intervale Av (2,5)",0.0,0.05,0.02,-0.03,0.01,-0.03,0.0,0.03,0.0,0.04,-0.04,-0.02,residential
Inwood-207 St (A),-0.01,0.01,0.0,0.02,-0.04,0.03,0.02,0.01,-0.02,-0.03,0.02,0.02,residential
"Jackson Av (2,5)",-0.01,0.03,0.02,0.01,0.01,-0.04,0.0,0.02,0.0,0.04,-0.01,-0.03,residential
"Jamaica Center-Parsons/Archer (E,J,Z)",0.0,0.09,-0.02,0.02,-0.02,-0.05,-0.01,0.02,0.0,0.0,0.05,-0.04,residential
Jamaica-179 St (F),-0.02,0.12,-0.03,0.08,-0.09,-0.04,0.0,0.0,-0.04,-0.04,0.13,-0.03,residential
Jamaica-Van Wyck (E),-0.01,0.05,-0.02,0.0,0.02,-0.02,-0.01,0.04,-0.01,0.03,0.0,-0.03,residential
"Jay St-MetroTech (A,C,F,R)",0.03,-0.07,0.01,-0.12,0.19,-0.02,-0.04,0.01,0.08,0.14,-0.15,-0.02,destination
Jefferson St (L),0.06,0.02,-0.04,-0.06,-0.01,0.05,0.04,0.0,-0.03,-0.03,-0.01,0.07,residential
Junction Blvd (7),-0.01,0.07,-0.03,0.02,-0.06,0.03,0.03,0.0,-0.03,-0.05,0.04,0.02,residential
Junius St (3),0.01,0.01,0.0,0.0,0.01,-0.01,-0.01,0.02,0.02,0.03,-0.02,-0.01,residential
"Kew Gardens-Union Tpke (E,F)",-0.01,0.03,0.01,0.04,-0.02,-0.02,-0.01,0.0,0.0,0.01,0.05,-0.02,residential
"Kings Hwy (B,Q)",-0.01,0.0,0.03,0.04,-0.02,-0.02,-0.01,-0.02,0.0,0.01,0.06,-0.02,residential
Kings Hwy (F),-0.01,0.02,0.0,0.05,-0.03,-0.01,-0.01,0.0,0.0,0.01,0.04,-0.01,residential
Kings Hwy (N),-0.02,0.03,0.01,0.08,-0.09,0.0,0.0,-0.03,-0.03,-0.02,0.08,0.01,residential
Kingsbridge Rd (4),-0.01,0.06,-0.01,0.01,-0.03,0.0,0.01,0.01,-0.01,0.01,0.0,0.0,residential
"Kingsbridge Rd (B,D)",-0.01,0.06,-0.01,0.09,-0.06,-0.05,0.02,0.0,-0.02,-0.02,0.06,-0.03,residential
Kingston Av (3),-0.01,-0.02,0.05,-0.01,0.0,0.0,0.01,-0.01,-0.01,0.01,0.01,0.01,residential
Kingston-Throop Avs (C),0.0,-0.03,0.04,-0.01,0.0,0.03,0.04,-0.01,-0.04,-0.02,0.01,0.03,residential
Knickerbocker Av (M),-0.01,-0.02,0.02,0.02,-0.02,0.02,0.03,-0.01,-0.02,-0.02,0.02,0.02,residential
Kosciuszko St (J),0.0,-0.01,0.04,0.01,-0.04,0.03,0.05,0.0,-0.06,-0.03,0.03,0.02,residential
Lafayette Av (C),0.06,-0.06,-0.02,-0.09,0.05,0.07,-0.01,-0.01,0.01,0.02,-0.04,0.06,destination
"Lexington Av (N,R,W)/59 St (4,5,6)",0.05,-0.07,-0.04,-0.14,0.22,0.0,-0.06,0.02,0.09,0.14,-0.17,0.0,destination
"Lexington Av-53 St (E,M)/51 St (6)",0.04,-0.07,-0.04,-0.14,0.26,-0.03,-0.05,0.02,0.07,0.18,-0.18,-0.03,destination
"Lexington Av/63 St (F,Q)",0.04,-0.07,-0.03,-0.11,0.17,0.01,-0.04,0.03,0.06,0.1,-0.13,0.0,destination
Liberty Av (C),-0.01,0.03,0.02,-0.01,0.01,-0.02,-0.01,0.03,0.02,0.02,-0.03,-0.02,residential
Livonia Av (L),0.01,0.03,-0.02,0.01,0.01,-0.02,-0.01,0.02,0.01,0.01,0.01,-0.02,residential
Longwood Av (6),0.0,0.03,0.0,-0.01,0.03,-0.02,0.0,0.07,-0.01,0.04,-0.05,-0.02,residential
Lorimer St (L)/Metropolitan Av (G),0.06,-0.03,-0.04,-0.05,0.0,0.08,0.03,-0.02,-0.04,-0.03,0.0,0.08,residential
"Lorimer St (M,J)",0.02,-0.04,0.0,-0.04,0.04,0.04,0.0,0.01,-0.02,0.03,-0.03,0.03,residential
Marble Hill-225 St (1),0.0,0.01,0.0,0.03,-0.01,-0.01,0.0,-0.01,0.0,0.0,0.03,0.0,residential
"Marcy Av (M,J,Z)",0.04,-0.05,-0.01,-0.05,0.06,0.04,-0.01,0.01,0.0,0.02,-0.04,0.04,destination
Mets-Willets Point (7),0.21,-0.04,-0.15,-0.14,-0.03,0.17,-0.06,0.0,-0.03,-0.03,-0.01,0.15,destination
Middle Village-Metropolitan Av (M),-0.01,0.04,-0.01,0.05,0.0,-0.04,-0.02,0.03,0.0,0.0,0.05,-0.03,residential
Middletown Rd (6),-0.01,0.11,-0.04,0.1,-0.08,-0.06,-0.01,0.0,-0.02,-0.01,0.11,-0.05,residential
Montrose Av (L),0.03,-0.03,0.0,-0.03,0.0,0.05,0.04,0.0,-0.05,-0.02,-0.01,0.05,residential
Morgan Av (L),0.05,-0.04,-0.01,-0.07,0.03,0.06,0.03,0.01,-0.01,-0.03,-0.03,0.06,residential
Morris Park (5),-0.04,0.08,0.0,0.12,-0.1,-0.05,0.02,-0.01,-0.04,-0.04,0.14,-0.04,residential
Morrison Av-Soundview (6),-0.01,0.13,-0.02,0.03,-0.09,-0.02,0.02,-0.01,-0.02,-0.03,0.07,-0.01,residential
Mosholu Pkwy (4),-0.01,0.05,-0.01,-0.02,0.02,-0.01,0.0,0.03,-0.01,0.04,-0.03,-0.01,residential
Mt Eden Av (4),-0.01,0.06,-0.02,0.01,-0.01,-0.01,0.0,0.03,-0.01,0.01,-0.01,-0.01,residential
"Myrtle Av (M,J,Z)",0.01,-0.02,0.01,0.0,0.0,0.02,0.05,0.01,-0.05,-0.02,0.01,0.03,residential
Myrtle-Willoughby Avs (G),-0.01,-0.03,0.03,0.01,0.0,0.01,0.04,0.01,-0.04,-0.01,0.01,0.02,residential
"Myrtle-Wyckoff Avs (L,M)",0.0,0.01,0.0,0.01,-0.03,0.03,0.03,-0.01,-0.03,-0.03,0.04,0.02,residential
Nassau Av (G),0.05,-0.05,-0.05,-0.05,0.05,0.07,-0.01,0.0,0.0,0.0,-0.03,0.07,destination
Neck Rd (Q),-0.02,0.03,0.0,0.1,-0.08,-0.02,0.0,-0.03,-0.01,-0.03,0.11,-0.02,residential
Neptune Av (F),-0.01,0.01,0.03,0.01,0.05,-0.08,-0.03,0.05,0.0,0.06,-0.01,-0.06,residential
"Nereid Av (2,5)",0.0,0.12,-0.05,0.04,-0.04,-0.05,-0.02,0.01,0.0,0.0,0.06,-0.03,residential
"Nevins St (2,3,4,5)",0.04,-0.06,0.0,-0.07,0.11,0.0,-0.03,0.03,0.03,0.05,-0.07,0.01,destination
New Lots Av (3),0.0,0.1,-0.02,0.04,-0.06,-0.04,0.0,0.02,0.0,-0.01,0.04,-0.02,residential
New Lots Av (L),0.0,0.08,-0.01,0.02,-0.04,-0.04,0.01,0.03,-0.02,-0.01,0.04,-0.03,residential
New Utrecht Av (N)/62 St (D),-0.02,0.02,0.01,0.0,0.0,0.01,-0.01,0.01,0.0,0.03,-0.01,0.0,residential
"Newkirk Av-Little Haiti (2,5)",-0.01,0.06,0.0,0.07,-0.08,-0.03,0.02,-0.01,-0.02,-0.03,0.08,-0.02,residential
"Newkirk Plaza (B,Q)",-0.02,0.0,0.03,0.06,-0.04,-0.02,0.03,-0.02,-0.01,-0.03,0.06,0.0,residential
"Northern Blvd (M,R)",-0.01,0.03,0.01,0.04,-0.03,-0.02,0.01,0.01,-0.02,-0.02,0.04,-0.01,residential
"Norwood Av (J,Z)",-0.01,0.06,0.01,0.04,-0.06,-0.03,0.01,0.0,0.01,-0.02,0.05,-0.02,residential
Norwood-205 St (D),-0.01,0.07,0.0,0.06,-0.05,-0.05,0.01,0.01,-0.02,-0.02,0.06,-0.03,residential
Nostrand Av (3),0.01,-0.02,0.01,-0.02,0.02,0.02,0.02,0.0,-0.01,0.0,0.0,0.02,residential
"Nostrand Av (A,C)",0.01,-0.04,0.02,-0.01,0.01,0.03,0.03,0.0,-0.03,-0.02,0.01,0.03,residential
Ocean Pkwy (Q),0.0,-0.02,0.01,-0.01,0.02,0.01,-0.03,-0.02,0.05,0.03,-0.01,0.01,residential
Ozone Park-Lefferts Blvd (A),-0.01,0.16,-0.05,0.06,-0.1,-0.04,-0.01,-0.01,-0.03,-0.04,0.14,-0.03,residential
Park Pl (S),0.01,-0.05,0.0,0.0,0.04,0.02,0.01,0.01,-0.02,0.01,-0.01,0.01,residential
Parkchester (6),-0.02,0.08,0.0,0.06,-0.09,-0.01,0.02,0.0,-0.03,-0.04,0.07,-0.01,residential
Parkside Av (Q),0.0,-0.01,0.01,0.01,-0.03,0.04,0.04,-0.02,-0.04,-0.03,0.03,0.04,residential
Parsons Blvd (F),-0.01,0.06,0.02,0.0,-0.05,0.01,0.01,0.01,-0.03,0.0,0.02,0.0,residential
Pelham Bay Park (6),0.01,0.07,-0.05,0.06,-0.05,-0.02,-0.03,0.01,0.01,-0.01,0.05,-0.01,residential
"Pelham Pkwy (2,5)",0.0,0.04,-0.01,0.01,0.0,-0.02,-0.01,0.0,0.01,0.01,0.02,-0.01,residential
Pelham Pkwy (5),-0.03,0.07,-0.01,0.09,-0.03,-0.07,-0.01,0.0,-0.02,0.02,0.1,-0.06,residential
Pennsylvania Av (3),0.0,0.05,0.01,0.01,-0.02,-0.03,-0.01,0.01,0.01,0.02,0.01,-0.02,residential
"President St-Medgar Evers College (2,5)",-0.01,-0.04,0.05,0.04,0.0,-0.03,0.02,-0.01,-0.02,0.02,0.02,-0.01,residential
"Prince St (R,W)",0.04,-0.08,-0.07,-0.17,0.16,0.13,-0.06,-0.03,0.13,0.01,-0.14,0.12,destination
"Prospect Av (2,5)",-0.01,0.03,0.03,-0.01,0.02,-0.04,0.0,0.02,0.0,0.04,-0.02,-0.03,residential
Prospect Av (R),0.0,-0.04,0.0,0.03,0.04,0.0,0.0,0.01,-0.03,0.03,0.01,0.0,residential
