,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
"174-175 Sts (B,D)",-0.01,0.03,0.02,0.0,0.02,-0.05,0.02,0.03,0.0,0.03,-0.02,-0.03,residential
175 St (A),-0.01,0.0,0.02,0.01,-0.02,0.02,0.02,0.0,-0.02,-0.02,0.03,0.01,residential
176 St (4),-0.01,0.06,-0.01,0.01,-0.04,0.0,0.01,0.01,-0.02,0.0,0.01,0.0,residential
18 Av (D),-0.02,0.04,-0.01,0.07,-0.08,0.01,0.0,-0.02,-0.02,-0.03,0.09,0.01,residential
18 Av (F),-0.01,0.01,0.0,0.03,0.02,-0.03,-0.01,0.01,0.0,0.04,0.01,-0.02,residential
18 Av (N),-0.02,0.01,0.02,0.03,-0.04,0.01,0.0,-0.02,-0.01,-0.01,0.04,0.01,residential
18 St (1),0.06,-0.07,-0.03,-0.11,0.14,0.03,-0.05,-0.02,0.08,0.08,-0.1,0.03,destination
181 St (1),0.0,0.0,0.03,-0.01,0.0,-0.01,0.02,-0.01,0.03,0.0,-0.02,0.0,residential
181 St (A),-0.02,-0.03,0.04,0.04,-0.04,0.03,0.05,-0.02,-0.03,-0.04,0.05,0.02,residential
"182-183 Sts (B,D)",-0.01,0.06,0.02,0.03,-0.04,-0.05,0.03,0.02,-0.01,-0.02,0.02,-0.03,residential
183 St (4),0.0,0.09,-0.01,0.01,-0.07,0.01,0.03,0.01,-0.02,-0.03,0.02,0.01,residential
190 St (A),-0.02,-0.03,0.02,0.05,-0.03,0.03,0.04,-0.01,-0.03,-0.04,0.03,0.03,residential
