,Station Complex Name,ridership_ratio_clusters,total_ridership_clusters,combo_cluster
308,"174 St (2,5)",residential,low ridership,residential-low ridership
309,Ocean Pkwy (Q),residential,low ridership,residential-low ridership
310,Bay Pkwy (N),residential,low ridership,residential-low ridership
311,86 St (N),residential,low ridership,residential-low ridership
312,"Clark St (2,3)",destination,low ridership,destination-low ridership
313,"50 St (C,E)",destination,low ridership,destination-low ridership
314,Beverley Rd (Q),residential,low ridership,residential-low ridership
315,"Central Park North (110 St) (2,3)",residential,low ridership,residential-low ridership
316,18 Av (N),residential,low ridership,residential-low ridership
317,40 St-Lowery St (7),residential,low ridership,residential-low ridership
318,Christopher St-Sheridan Sq (1),destination,low ridership,destination-low ridership
319,"104 St (J,Z)",residential,low ridership,residential-low ridership
320,"Hoyt-Schermerhorn Sts (A,C,G)",destination,low ridership,destination-low ridership
321,34 St-Hudson Yards (7),destination,low ridership,destination-low ridership
322,77 St (R),residential,low ridership,residential-low ridership
323,Avenue P (F),residential,low ridership,residential-low ridership
324,25 St (R),residential,low ridership,residential-low ridership
325,"Brighton Beach (B,Q)",residential,low ridership,residential-low ridership
326,"Astoria Blvd (N,W)",residential,low ridership,residential-low ridership
327,"135 St (C,B)",residential,low ridership,residential-low ridership
328,Kosciuszko St (J),residential,low ridership,residential-low ridership
329,E 143 St-St Mary's St (6),destination,low ridership,destination-low ridership
330,"30 Av (N,W)",residential,low ridership,residential-low ridership
331,Myrtle-Willoughby Avs (G),residential,low ridership,residential-low ridership
332,"Grand Central-42 St (S,4,5,6,7)",destination,high ridership,destination-high ridership
333,"Bronx Park East (2,5)",residential,low ridership,residential-low ridership
334,Van Siclen Av (C),residential,low ridership,residential-low ridership
335,Nostrand Av (3),residential,low ridership,residential-low ridership
336,80 St (A),residential,low ridership,residential-low ridership
337,"Prospect Av (2,5)",residential,low ridership,residential-low ridership
338,"219 St (2,5)",residential,low ridership,residential-low ridership
339,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",destination,high ridership,destination-high ridership
340,"75 St-Elderts Ln (J,Z)",residential,low ridership,residential-low ridership
341,18 Av (F),residential,low ridership,residential-low ridership
342,Jamaica-Van Wyck (E),residential,low ridership,residential-low ridership
343,"5 Av/59 St (N,R,W)",destination,low ridership,destination-low ridership
344,"Bergen St (F,G)",destination,low ridership,destination-low ridership
345,111 St (J),residential,low ridership,residential-low ridership
346,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",destination,high ridership,destination-high ridership
347,"Kingsbridge Rd (B,D)",residential,low ridership,residential-low ridership
348,"Sheepshead Bay (B,Q)",residential,low ridership,residential-low ridership
349,"116 St (2,3)",residential,low ridership,residential-low ridership
350,"Northern Blvd (M,R)",residential,low ridership,residential-low ridership
351,3 Av (L),destination,low ridership,destination-low ridership
352,69 St (7),residential,low ridership,residential-low ridership
353,"96 St (1,2,3)",destination,low ridership,destination-low ridership
354,Neck Rd (Q),residential,low ridership,residential-low ridership
355,Rockaway Blvd (A),residential,low ridership,residential-low ridership
356,50 St (D),destination,low ridership,destination-low ridership
357,"Briarwood (E,F)",residential,low ridership,residential-low ridership
358,"14 St (F,M,1,2,3)/6 Av (L)",destination,high ridership,destination-high ridership
359,"86 St (4,5,6)",destination,high ridership,destination-high ridership
360,238 St (1),residential,low ridership,residential-low ridership
361,71 St (D),residential,low ridership,residential-low ridership
362,"72 St (C,B)",destination,low ridership,destination-low ridership
363,"36 Av (N,W)",residential,low ridership,residential-low ridership
364,103 St-Corona Plaza (7),residential,low ridership,residential-low ridership
365,Cypress Av (6),residential,low ridership,residential-low ridership
366,"Grand Av-Newtown (M,R)",residential,low ridership,residential-low ridership
367,"125 St (A,C,B,D)",destination,low ridership,destination-low ridership
368,Rector St (1),destination,low ridership,destination-low ridership
369,231 St (1),residential,low ridership,residential-low ridership
370,110 St (6),residential,low ridership,residential-low ridership
371,"Church Av (F,G)",residential,low ridership,residential-low ridership
372,Halsey St (L),residential,low ridership,residential-low ridership
373,Nassau Av (G),destination,low ridership,destination-low ridership
374,Beach 60 St (A),residential,low ridership,residential-low ridership
375,207 St (1),residential,low ridership,residential-low ridership
376,"Simpson St (2,5)",residential,low ridership,residential-low ridership
377,"Jamaica Center-Parsons/Archer (E,J,Z)",residential,low ridership,residential-low ridership
378,"Queens Plaza (E,M,R)",destination,low ridership,destination-low ridership
379,163 St-Amsterdam Av (C),residential,low ridership,residential-low ridership
380,Sutter Av-Rutland Rd (3),residential,low ridership,residential-low ridership
381,"39 Av-Dutch Kills (N,W)",residential,low ridership,residential-low ridership
382,169 St (F),residential,low ridership,residential-low ridership
383,Roosevelt Island (F),residential,low ridership,residential-low ridership
384,33 St-Rawson St (7),destination,low ridership,destination-low ridership
385,"W 8 St-NY Aquarium (F,Q)",destination,low ridership,destination-low ridership
386,"Forest Hills-71 Av (E,F,M,R)",residential,low ridership,residential-low ridership
387,Ditmas Av (F),residential,low ridership,residential-low ridership
388,Kingston Av (3),residential,low ridership,residential-low ridership
389,"Flushing Av (M,J)",destination,low ridership,destination-low ridership
390,Saratoga Av (3),residential,low ridership,residential-low ridership
391,"Rector St (R,W)",destination,low ridership,destination-low ridership
392,111 St (A),residential,low ridership,residential-low ridership
393,Ralph Av (C),residential,low ridership,residential-low ridership
394,"Kings Hwy (B,Q)",residential,low ridership,residential-low ridership
395,57 St (F),destination,low ridership,destination-low ridership
396,"Newkirk Av-Little Haiti (2,5)",residential,low ridership,residential-low ridership
397,Lorimer St (L)/Metropolitan Av (G),residential,low ridership,residential-low ridership
398,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",destination,high ridership,destination-high ridership
399,8 Av (N),destination,low ridership,destination-low ridership
400,79 St (1),destination,low ridership,destination-low ridership
401,20 Av (N),residential,low ridership,residential-low ridership
402,86 St (1),destination,low ridership,destination-low ridership
403,Cleveland St (J),residential,low ridership,residential-low ridership
404,137 St-City College (1),residential,low ridership,residential-low ridership
405,"Church Av (2,5)",residential,low ridership,residential-low ridership
406,"96 St (C,B)",destination,low ridership,destination-low ridership
407,Fordham Rd (4),residential,low ridership,residential-low ridership
408,Broadway (G),destination,low ridership,destination-low ridership
409,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",destination,low ridership,destination-low ridership
410,"Chambers St (1,2,3)",destination,low ridership,destination-low ridership
411,Zerega Av (6),residential,low ridership,residential-low ridership
412,170 St (4),residential,low ridership,residential-low ridership
413,Mt Eden Av (4),residential,low ridership,residential-low ridership
414,Forest Av (M),residential,low ridership,residential-low ridership
415,28 St (1),destination,low ridership,destination-low ridership
416,Beach 44 St (A),residential,low ridership,residential-low ridership
417,45 St (R),residential,low ridership,residential-low ridership
418,East Broadway (F),destination,low ridership,destination-low ridership
419,Montrose Av (L),residential,low ridership,residential-low ridership
420,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",destination,high ridership,destination-high ridership
421,Westchester Sq-E Tremont Av (6),residential,low ridership,residential-low ridership
422,"Marcy Av (M,J,Z)",destination,low ridership,destination-low ridership
423,111 St (7),residential,low ridership,residential-low ridership
